排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
252,乔文瀚,同曦,15,2.1,0.4-1.3,0.2-0.7,0.7-0.9,1.3,0.8,0.5,0.3,0.1,0.0,0.0,0.4,1.4,1.73
253,李金效,广厦,16,2.1,0.8-2.0,0.1-0.1,0.4-0.5,1.9,0.5,1.4,0.1,0.1,0.0,0.3,0.5,2.8,2.56
254,张祖铭,八一,6,2.0,0.3-1.2,0.2-1.5,0.8-1.3,2.5,1.8,0.7,0.2,0.3,0.0,0.0,0.8,1.2,1.50
255,张松涛,四川,9,1.9,0.6-1.7,0.0-0.0,0.8-1.3,1.9,1.0,0.9,0.6,0.2,0.0,0.1,0.6,1.7,2.44
256,赵戌宏,青岛,9,1.9,0.7-1.4,0.0-0.0,0.6-0.9,2.3,0.9,1.4,0.4,0.2,0.2,0.3,0.3,1.0,3.78
257,孙贺男,山东,7,1.9,0.3-0.4,0.3-0.7,0.4-0.9,1.1,0.3,0.9,0.1,0.0,0.0,0.0,0.4,0.4,1.71
258,王奕博,浙江,14,1.9,0.5-1.0,0.1-0.5,0.6-0.7,0.6,0.2,0.4,0.9,0.8,0.0,0.0,0.5,1.1,2.64
259,孟铎,深圳,12,1.8,0.3-0.9,0.3-0.8,0.4-0.5,0.7,0.3,0.4,0.8,0.2,0.0,0.0,0.7,1.8,1.50
260,买尔丹,同曦,19,1.8,0.7-0.9,0.0-0.0,0.4-0.5,1.9,0.6,1.3,0.6,0.2,0.0,0.2,0.6,3.0,3.68
261,,福建,18,1.8,0.6-0.9,0.0-0.0,0.7-0.9,1.3,0.5,0.8,0.3,0.2,0.1,0.2,0.5,1.4,2.78
262,滕贺麒,山西,4,1.8,0.5-1.0,0.0-0.5,0.8-1.0,1.3,0.3,1.0,0.8,0.5,0.0,0.3,0.3,1.5,3.00
263,孙椿棚,福建,18,1.7,0.8-1.7,0.0-0.0,0.2-0.3,2.8,1.1,1.8,0.7,0.6,0.0,0.2,0.6,2.0,4.22
