排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
1,琼斯,吉林,20,38.0,10.1-17.6,2.7-9.3,9.8-12.1,8.0,2.1,6.0,8.5,1.7,0.2,0.5,3.5,3.9,36.85
2,布莱克尼,江苏,4,36.3,9.8-18.3,3.3-7.0,7.0-9.8,6.5,0.5,6.0,3.3,1.5,1.3,1.0,4.3,2.0,29.25
3,约瑟夫-杨,同曦,20,35.7,9.4-16.1,3.6-8.7,6.1-6.8,4.4,0.6,3.8,6.8,1.7,0.8,0.0,3.8,1.4,32.25
4,亚当斯,青岛,19,35.4,8.0-13.5,3.8-11.8,8.1-9.2,8.4,0.9,7.5,5.5,2.6,0.1,0.3,4.1,2.3,33.37
5,德兹明-威尔斯,广厦,1,34.0,10.0-19.0,2.0-5.0,8.0-12.0,11.0,0.0,11.0,4.0,3.0,0.0,1.0,6.0,1.0,31.00
6,汉斯布鲁,四川,7,33.1,10.0-18.3,0.3-1.4,12.3-14.0,13.7,4.9,8.9,0.9,2.3,2.1,0.7,1.7,3.3,37.86
7,吉布森,江苏,13,32.2,4.5-9.8,4.6-10.0,9.2-10.7,5.3,1.0,4.3,4.2,1.2,0.0,0.1,2.8,3.2,28.08
8,福特森,四川,20,29.6,6.6-12.6,2.5-7.0,9.0-12.0,5.4,1.5,4.0,7.6,1.7,0.0,0.0,3.6,3.8,27.20
9,富兰克林,山西,18,29.6,6.3-10.9,2.9-8.1,8.3-9.8,9.0,1.6,7.4,10.4,2.6,0.4,1.7,3.8,2.8,38.28
10,凯弗-赛克斯,广州,15,28.2,8.3-15.3,2.1-6.5,5.1-5.7,5.3,1.3,4.1,6.1,1.5,0.5,0.1,2.5,2.1,26.87
11,布鲁克斯,广东,20,28.0,7.2-11.1,3.5-8.1,3.2-3.9,6.3,1.4,4.9,5.7,2.0,0.7,0.5,3.1,1.8,30.05
12,尼克尔森,广州,17,27.8,6.7-12.2,3.2-6.5,4.9-6.2,10.9,2.8,8.1,1.3,0.6,0.8,0.7,2.1,2.2,29.00
13,哈德森,山东,19,27.8,4.4-8.2,4.7-12.1,4.9-5.4,8.3,1.2,7.1,7.3,1.8,0.1,0.4,3.8,3.0,30.11
14,泰-劳森,福建,18,27.6,6.9-12.7,1.9-4.4,8.2-9.9,5.1,1.1,4.0,7.4,1.9,0.0,0.2,2.6,2.7,29.50
15,邓蒙,浙江,19,27.6,4.9-10.1,3.9-9.9,6.1-7.3,4.8,0.9,3.8,6.7,1.6,0.0,0.1,2.7,2.1,25.74
16,弗格,北控,19,27.0,4.6-8.5,2.8-6.7,9.3-11.1,7.2,0.9,6.3,6.6,2.3,0.0,0.3,3.1,3.2,30.84
17,林书豪,北京,19,24.6,5.9-11.8,1.5-3.9,8.2-9.8,6.1,0.9,5.2,5.9,1.9,0.0,0.2,3.4,3.7,25.53
18,查森-兰德尔,天津,14,24.4,5.0-11.4,2.8-8.1,6.0-6.9,3.7,0.4,3.3,4.2,1.9,0.1,0.4,4.2,3.1,17.71
19,兰兹博格,浙江,19,24.3,5.4-10.8,2.2-6.1,6.8-8.2,7.6,1.9,5.7,2.5,1.0,0.4,0.2,1.5,1.8,23.58
20,史蒂芬森,辽宁,20,24.3,7.3-11.9,1.7-5.6,4.7-6.3,7.3,1.2,6.2,4.2,0.9,0.5,0.2,2.7,3.2,24.05
21,王哲林,福建,19,24.1,8.7-15.0,0.6-2.5,4.8-7.9,10.9,3.2,7.7,2.1,1.1,1.8,1.0,2.0,2.7,25.95
22,穆罕默德,深圳,10,23.5,6.5-10.8,1.3-3.1,6.6-8.7,9.3,2.1,7.2,1.5,0.8,1.6,0.5,1.3,2.4,26.10
23,约翰逊,青岛,19,23.4,8.6-13.1,0.0-0.2,6.2-9.3,15.0,5.5,9.5,3.1,0.9,1.0,1.6,2.2,3.8,34.05
24,莫泰尤纳斯,上海,20,23.2,8.9-15.2,0.9-2.9,2.7-5.8,15.4,3.1,12.4,3.8,1.8,0.6,0.3,3.6,2.5,29.50
25,皮埃尔-杰克逊,深圳,2,23.0,1.5-5.0,4.0-9.5,8.0-8.5,3.5,0.5,3.0,6.0,2.0,0.0,0.0,3.0,2.0,22.00
26,雷-麦卡勒姆,上海,8,22.5,6.1-12.6,1.6-5.3,5.4-6.6,3.5,0.6,2.9,6.4,1.1,0.1,0.0,1.4,2.3,20.75
27,周琦,新疆,19,22.5,7.1-10.6,1.5-4.4,3.9-6.2,12.3,3.6,8.7,2.1,1.2,2.3,2.8,2.1,3.4,30.00
28,纳纳利,上海,12,22.3,5.0-10.3,2.6-5.2,4.6-5.4,5.5,1.4,4.1,3.3,1.2,0.2,0.1,1.5,1.4,22.17
29,拉杜利察,江苏,20,22.2,7.1-12.5,0.8-2.3,5.7-7.2,9.5,2.2,7.3,2.4,1.3,0.8,0.9,3.1,3.5,24.55
30,亨特,广州,8,21.8,5.9-11.1,1.4-5.1,5.9-8.1,5.3,1.5,3.8,3.0,1.9,0.3,0.3,1.8,2.5,19.13
31,斯托克斯,新疆,11,21.7,8.3-12.6,0.5-1.8,3.8-5.2,12.4,3.1,9.3,2.4,0.7,0.6,1.2,2.4,3.4,28.91
32,威姆斯,广东,20,21.5,7.8-14.3,0.8-2.5,3.8-4.7,6.2,1.0,5.2,5.6,1.5,0.6,0.3,3.3,2.3,22.50
33,巴斯,辽宁,20,21.3,8.3-13.4,0.1-0.1,4.6-5.9,8.4,2.2,6.2,2.0,1.2,2.7,0.9,2.0,2.1,25.25
34,埃里克-格林,福建,4,21.3,5.3-8.8,2.8-7.3,2.5-3.0,5.8,1.3,4.5,3.5,1.3,0.0,0.0,1.0,1.3,22.25
35,易建联,广东,20,20.8,6.1-10.6,1.2-3.3,5.3-6.5,11.0,3.0,8.0,1.4,1.5,2.3,1.6,1.2,2.1,27.25
36,汉密尔顿,北京,12,20.7,7.6-13.0,0.3-2.0,4.5-5.0,11.0,3.3,7.7,2.3,0.9,1.7,1.7,1.4,2.0,27.50
37,普-杰特,福建,2,20.5,3.0-5.0,4.0-9.0,2.5-2.5,5.0,0.0,5.0,10.5,1.5,0.0,0.0,1.5,1.5,29.00
38,尤度,北京,8,20.1,8.6-13.3,0.0-0.3,2.9-4.5,11.6,3.5,8.1,2.0,1.9,3.0,5.0,2.0,3.3,32.13
39,马尔科-托多罗维奇,天津,14,20.0,6.5-10.9,0.6-1.5,5.3-7.2,12.4,3.0,9.4,3.5,1.6,0.1,0.9,4.7,3.9,26.50
40,埃里克-米卡,新疆,6,19.8,8.0-13.8,0.0-0.0,3.8-7.0,11.5,5.2,6.3,1.7,1.7,2.2,0.7,2.2,3.2,24.17
41,德怀特-拜克斯,深圳,16,19.6,5.8-11.3,1.6-4.2,3.3-3.9,4.4,0.9,3.6,6.5,2.5,0.0,0.3,3.6,2.4,21.06
42,郭艾伦,辽宁,20,19.5,5.4-9.2,1.5-5.0,4.3-5.7,3.6,0.6,3.1,5.0,1.5,0.2,0.1,2.5,3.4,18.55
43,阿玛尔-斯塔德迈尔,福建,11,19.4,7.2-13.8,0.2-0.5,4.5-5.6,8.3,2.4,5.9,0.9,0.7,1.0,1.2,2.5,3.3,19.73
44,凯-费尔德,新疆,16,19.0,4.6-9.8,1.8-4.4,4.4-5.1,5.4,0.6,4.8,8.8,2.0,0.1,0.3,2.9,3.3,24.06
45,陈林坚,福建,20,17.7,3.0-5.6,3.3-7.8,1.8-2.2,3.6,0.9,2.7,1.8,1.2,0.1,0.1,1.7,2.6,15.10
46,阿不都沙拉木,新疆,19,17.7,4.7-7.9,1.6-5.0,3.3-4.4,5.3,1.5,3.7,2.7,1.1,0.1,0.2,1.4,2.3,17.74
47,雅克查理,同曦,8,17.5,3.5-6.1,2.9-7.4,1.9-2.5,6.0,1.4,4.6,3.8,1.5,0.0,0.1,0.9,1.8,20.25
48,时德帅,天津,20,17.4,4.6-8.4,1.7-3.8,3.2-4.2,7.2,2.6,4.6,1.5,1.8,0.1,0.5,2.2,2.9,19.15
49,法里德,广厦,7,17.3,6.6-13.0,0.7-2.1,2.0-4.1,10.0,3.3,6.7,1.3,1.3,1.3,2.4,2.0,3.3,20.29
50,詹姆斯-梅斯,山东,20,16.6,5.9-10.3,0.3-1.1,4.0-6.0,11.0,4.2,6.8,1.6,1.8,0.6,1.1,1.9,2.8,22.85
51,托马斯-罗宾逊,四川,11,16.5,6.5-12.4,0.0-0.4,3.5-5.5,12.0,4.6,7.4,1.1,1.4,1.6,0.9,1.9,3.3,21.82
52,贾雷尔-马丁,深圳,8,16.4,4.9-9.8,1.6-5.1,1.8-2.0,8.6,1.5,7.1,2.0,1.4,1.0,1.0,2.1,3.1,18.63
53,原帅,山西,19,16.4,1.8-3.0,3.8-7.9,1.2-1.4,1.9,0.3,1.6,1.7,0.6,0.0,0.1,0.8,1.9,14.26
54,桑尼,北控,18,16.1,5.9-11.1,0.1-1.1,4.0-4.7,9.8,3.3,6.4,1.6,1.2,0.2,0.3,1.8,2.7,20.22
55,胡金秋,广厦,20,16.1,6.5-10.6,0.4-0.8,2.1-2.8,7.7,2.8,4.9,0.7,0.9,0.6,1.2,1.0,2.1,20.35
56,付豪,八一,20,16.1,6.3-13.2,0.0-0.1,3.6-4.7,9.7,3.9,5.8,0.5,0.4,0.1,0.3,1.2,2.8,17.60
57,吴前,浙江,19,16.1,2.2-5.1,2.8-6.8,3.3-3.7,3.7,1.0,2.7,4.0,2.2,0.0,0.2,2.0,3.3,16.68
58,艾伦-杰克逊,广厦,15,16.0,4.9-9.4,0.7-2.9,4.1-4.8,3.4,0.7,2.7,10.1,1.5,0.0,0.1,2.7,2.0,20.87
59,霍尔曼,吉林,20,15.9,6.9-10.8,0.0-0.0,2.2-2.7,10.4,3.2,7.2,0.8,0.8,2.0,1.1,1.6,3.1,22.85
60,翟晓川,北京,19,15.7,4.3-6.7,1.1-3.8,3.9-4.5,6.2,1.2,5.0,2.7,1.1,0.2,0.5,1.8,3.2,18.74
61,M.I.托马斯,山西,3,15.7,5.0-8.0,0.7-2.7,3.7-6.0,13.0,3.0,10.0,3.3,0.7,2.3,1.0,2.0,3.0,24.33
62,亚布塞莱,同曦,10,15.5,3.9-7.3,1.8-5.2,2.3-2.9,5.5,1.2,4.3,1.5,0.5,0.8,0.8,2.1,2.0,14.30
63,韩德君,辽宁,19,15.1,5.5-8.8,0.0-0.1,4.2-5.5,10.3,2.9,7.4,1.6,0.3,0.6,0.8,1.6,2.9,21.74
64,普拉姆利,广厦,4,14.8,6.5-14.8,0.0-0.0,1.8-3.0,9.0,2.3,6.8,1.3,0.0,1.5,1.5,2.0,3.8,15.00
65,任骏威,山西,19,14.6,3.3-6.3,1.9-3.8,2.4-2.9,4.7,1.3,3.4,2.2,0.6,0.1,0.2,1.4,1.9,15.58
66,雷蒙,八一,19,14.4,3.6-7.4,1.6-5.3,2.3-2.9,4.9,1.5,3.4,2.3,1.5,0.0,0.1,1.5,2.4,13.63
67,康宁汉姆,福建,5,14.2,5.4-9.0,1.0-2.6,0.4-0.4,9.4,2.8,6.6,1.0,0.6,0.6,1.0,1.2,2.8,19.80
68,赵岩昊,广厦,16,14.1,1.7-3.7,2.8-6.9,2.3-2.7,2.7,0.7,2.0,1.9,2.3,0.1,0.3,1.3,2.9,13.50
69,埃里克-莫兰德,山西,15,13.9,6.3-9.8,0.0-0.1,1.4-3.5,16.1,4.2,11.9,2.1,1.7,2.0,2.0,2.1,3.0,28.00
70,杰伦-雷诺兹,广厦,5,13.8,5.8-12.8,0.0-0.0,2.2-2.2,10.0,3.2,6.8,2.2,2.2,2.0,0.2,2.0,3.2,19.40
71,贾森-汤普森,北控,20,13.4,5.7-10.2,0.0-0.4,2.0-3.3,10.9,2.9,8.0,1.5,1.1,0.7,0.6,1.6,3.8,19.60
72,韩硕,八一,3,13.3,2.3-3.7,2.0-5.0,2.7-3.3,3.3,0.7,2.7,2.3,2.3,0.0,0.0,1.0,2.0,15.33
73,孙铭徽,广厦,17,13.3,3.8-7.2,1.2-3.8,2.1-3.1,3.2,0.9,2.2,5.0,1.9,0.2,0.1,3.2,2.8,13.35
74,哈达迪,同曦,20,13.2,4.8-8.2,0.3-1.0,2.8-3.9,13.2,3.1,10.1,4.8,0.9,1.1,2.6,3.8,4.0,25.65
75,孙悦,北控,19,13.1,2.2-4.6,2.4-7.2,1.6-2.1,3.4,0.7,2.7,4.1,1.3,0.3,1.2,1.3,2.7,14.21
76,刘铮,广厦,20,13.0,4.1-8.0,0.8-2.4,2.5-3.1,4.7,1.4,3.3,3.3,2.7,0.1,0.4,1.3,2.7,16.55
77,吴冠希,江苏,20,12.9,5.1-8.3,0.0-0.1,2.7-3.5,7.2,2.0,5.2,1.3,0.8,1.4,1.4,1.5,4.1,17.75
78,陈盈骏,广州,18,12.8,3.3-7.0,1.2-3.5,2.6-3.1,3.5,0.7,2.8,3.9,0.9,0.0,0.0,1.3,2.8,13.33
79,陶汉林,山东,20,12.8,5.1-8.7,0.0-0.1,2.6-4.2,6.5,2.1,4.4,1.1,0.8,2.0,1.2,1.1,3.6,16.05
80,李原宇,四川,20,12.7,4.0-8.6,1.1-3.6,1.7-2.5,8.1,2.4,5.7,1.6,1.4,0.1,0.7,2.4,4.0,14.05
81,赵睿,广东,19,12.7,2.9-5.4,1.6-4.9,1.9-2.6,4.8,1.5,3.3,4.3,2.3,0.1,0.3,1.2,2.8,16.79
82,任骏飞,广东,19,12.6,3.8-6.1,0.8-2.5,2.5-3.3,4.7,1.9,2.8,1.6,1.3,0.1,0.4,1.4,2.6,14.58
83,崔晋铭,吉林,20,12.6,3.8-7.4,0.9-2.9,2.4-3.2,3.8,0.9,3.0,2.6,0.7,0.0,0.2,1.6,2.5,11.90
84,沈梓捷,深圳,20,12.4,5.0-8.4,0.0-0.0,2.5-4.5,6.0,1.7,4.4,1.3,0.8,1.7,1.2,1.8,2.8,14.45
85,朱旭航,浙江,19,12.4,1.9-3.6,2.3-6.1,1.7-2.1,5.1,1.9,3.2,0.9,1.5,0.2,0.3,1.5,4.2,12.79
86,李荣培,天津,9,12.3,2.7-6.7,2.0-5.0,1.0-1.3,4.0,1.1,2.9,2.9,1.7,0.0,0.4,2.0,3.9,12.00
87,顾全,深圳,19,12.2,1.7-3.7,2.2-4.9,2.4-3.3,3.7,0.7,3.1,1.9,0.7,0.0,0.1,1.7,3.3,11.21
88,张大宇,浙江,19,11.8,4.6-7.6,0.3-0.7,1.6-2.0,6.3,2.4,3.8,1.6,1.3,0.3,1.2,1.4,3.0,16.95
89,王汝恒,山东,14,11.3,1.9-3.6,1.6-4.9,2.5-2.9,1.6,0.1,1.5,3.3,2.6,0.0,0.0,1.6,2.7,11.93
90,贺希宁,深圳,20,11.3,2.6-4.8,1.5-4.3,1.7-2.1,2.8,0.9,1.9,1.3,1.2,0.0,0.0,0.9,1.9,10.20
91,姜宇星,吉林,20,11.2,3.8-5.7,0.5-0.9,2.4-3.3,3.5,1.5,2.1,2.2,1.6,0.1,0.3,1.2,3.0,14.40
92,刘航初,八一,15,11.1,3.1-5.5,0.9-3.2,2.2-2.7,3.9,1.0,2.9,1.1,0.6,0.0,0.3,1.1,2.0,10.67
93,赵继伟,辽宁,19,10.9,1.4-3.2,2.4-6.0,0.9-1.3,2.9,0.7,2.2,4.4,2.7,0.0,0.1,1.6,3.1,13.63
94,董瀚麟,上海,18,10.8,4.2-7.3,0.0-0.0,2.3-3.8,6.6,2.2,4.3,1.2,1.1,0.9,0.6,1.9,3.2,13.72
95,王子瑞,北控,19,10.7,3.6-6.9,0.7-3.2,1.2-1.7,2.7,0.7,2.0,2.7,0.9,0.0,0.2,2.4,2.7,8.47
96,罗汉琛,上海,19,10.7,2.3-5.1,1.3-3.3,2.3-2.7,1.9,0.4,1.5,2.6,0.6,0.0,0.1,1.2,1.5,9.58
97,郭昊文,八一,19,10.7,2.5-5.7,0.5-2.4,4.1-5.3,2.9,0.8,2.2,1.7,1.1,0.3,0.2,1.7,2.8,8.58
98,西热力江,新疆,19,10.6,0.7-1.5,2.6-7.6,1.4-1.5,2.5,0.7,1.8,4.5,1.3,0.0,0.2,1.4,2.8,11.89
99,张骋宇,青岛,16,10.5,2.8-6.3,1.3-3.1,1.1-1.3,2.1,0.6,1.6,0.6,0.8,0.0,0.1,0.6,0.9,8.00
100,罗旭东,上海,18,10.4,3.1-6.2,0.8-2.1,1.9-2.5,2.4,0.4,1.9,2.8,1.2,0.0,0.0,1.6,3.2,10.33
101,李敬宇,山东,20,10.4,2.1-3.7,1.9-4.4,0.7-1.0,3.6,1.0,2.7,1.7,0.3,0.0,0.1,0.9,2.7,10.65
102,方硕,北京,19,10.3,2.3-5.4,1.6-4.5,0.9-1.2,2.9,0.3,2.6,4.5,0.9,0.0,0.1,1.8,2.9,10.58
103,李慕豪,深圳,16,10.2,3.8-7.3,0.2-0.9,2.0-2.9,6.1,1.8,4.4,0.9,0.4,1.4,1.3,1.6,3.1,12.38
104,可兰白克,新疆,19,10.1,0.9-1.7,2.6-5.1,0.6-0.7,1.9,0.5,1.4,0.9,0.4,0.0,0.2,0.5,2.7,9.58
105,朱彦西,北京,18,10.1,0.6-1.2,2.9-6.9,0.2-0.3,2.8,0.6,2.2,1.3,0.8,0.0,0.2,0.4,1.9,10.11
106,贾诚,山东,19,10.0,3.1-6.0,0.6-1.5,2.1-2.8,6.1,1.9,4.1,1.1,0.5,0.4,0.8,1.7,3.3,12.11
107,宋建骅,同曦,20,10.0,1.7-2.8,1.9-5.0,1.1-1.3,3.7,1.4,2.4,1.8,1.1,0.0,0.3,1.3,2.6,11.10
108,田雨,天津,10,9.6,2.4-4.2,0.9-3.0,2.1-2.3,2.9,1.4,1.5,1.3,0.8,0.0,0.1,1.0,1.9,9.60
109,焦海龙,青岛,19,9.5,3.1-5.0,0.9-2.3,0.7-0.8,4.1,1.6,2.5,0.5,0.7,0.1,0.5,0.8,3.2,11.11
110,姜伟泽,吉林,20,9.5,0.8-2.4,2.4-5.9,0.9-1.1,1.9,0.5,1.5,1.2,1.2,0.0,0.0,0.5,1.3,7.95
111,陈辰,四川,20,9.4,1.5-3.3,1.9-5.0,0.8-1.1,4.4,1.1,3.3,1.6,0.6,0.1,0.1,1.0,3.0,9.85
112,郑准,广州,13,8.8,0.9-1.5,2.2-4.3,0.3-0.4,2.8,0.5,2.3,0.7,0.1,0.2,0.7,0.5,1.8,10.00
113,胡明轩,广东,20,8.9,1.7-2.6,1.3-2.8,1.7-2.0,2.2,0.8,1.4,1.4,1.0,0.0,0.2,0.7,3.0,10.10
114,于长春,同曦,20,8.8,1.2-1.7,2.0-4.8,0.7-0.8,2.3,0.7,1.6,0.5,0.5,0.0,0.1,0.6,2.1,7.95
115,郭凯,广州,3,8.7,3.3-5.7,0.0-0.0,2.0-2.3,4.7,2.0,2.7,1.7,2.3,0.3,1.7,1.3,3.3,15.00
116,阿尔斯兰,八一,18,8.6,1.3-3.1,1.6-4.7,1.4-1.6,1.1,0.4,0.7,1.8,0.8,0.0,0.1,1.4,1.9,5.78
117,田宇翔,八一,18,8.6,2.7-6.7,0.6-1.8,1.4-1.8,2.5,0.4,2.1,2.3,1.6,0.0,0.4,1.2,2.3,8.72
118,黄荣奇,江苏,18,8.6,2.2-4.5,0.9-2.4,1.3-1.9,2.2,0.5,1.7,1.8,0.4,0.2,0.0,1.6,2.8,7.00
119,王庆明,青岛,19,8.4,1.2-2.5,1.7-4.2,0.9-1.2,2.9,0.5,2.4,1.1,0.5,0.1,0.2,0.5,2.8,8.53
120,罗凯文,八一,19,8.3,1.9-4.0,1.1-3.6,1.2-1.5,3.1,0.8,2.2,0.7,0.7,0.0,0.3,0.8,1.5,7.32
121,孟子凯,天津,19,8.3,1.9-3.5,0.8-2.9,1.8-2.4,4.5,1.1,3.4,0.7,0.9,0.7,0.4,1.3,2.9,9.32
122,张帆,北控,20,8.0,1.6-3.4,1.6-3.7,0.3-0.5,1.3,0.3,1.1,1.6,0.7,0.0,0.0,1.5,1.6,5.85
123,李京龙,广厦,13,7.9,0.5-1.5,2.2-6.1,0.5-0.8,2.2,0.2,2.0,0.5,0.8,0.0,0.0,0.8,2.4,5.23
124,莫蒙尘,四川,12,7.8,0.8-2.4,1.8-4.8,1.0-1.8,1.7,0.5,1.2,0.9,1.1,0.0,0.0,1.2,2.9,4.75
125,王少杰,北控,20,7.7,3.1-6.0,0.1-0.2,1.5-2.6,4.4,1.8,2.7,0.4,1.0,0.9,1.2,1.1,2.9,9.35
126,孟达,四川,18,7.7,1.3-3.0,1.6-4.4,0.3-0.3,1.4,0.1,1.4,2.2,1.2,0.0,0.1,1.2,1.9,6.78
127,程帅澎,浙江,18,7.5,1.5-2.6,0.9-2.8,1.8-2.3,1.9,0.6,1.3,2.2,1.9,0.0,0.0,0.7,4.1,9.28
128,易立,江苏,19,7.5,1.9-3.5,0.5-2.3,2.1-2.8,3.0,0.3,2.7,3.5,1.5,0.1,0.3,1.8,2.2,9.89
129,翟逸,青岛,17,7.4,2.9-4.6,0.2-0.6,1.1-2.6,1.2,0.2,1.0,1.5,1.2,1.0,0.1,1.1,3.1,6.65
130,黄毅超,福建,18,7.4,1.4-3.2,1.3-3.7,0.5-0.6,2.2,1.2,1.1,1.0,0.7,0.0,0.2,0.9,2.1,6.44
131,刘丰搏,广州,20,7.3,1.1-2.0,1.6-4.6,0.5-0.5,1.9,0.5,1.5,0.9,0.8,0.1,0.2,0.5,2.6,6.55
132,何重达,福建,7,7.3,1.0-1.6,1.6-2.9,0.6-1.4,2.1,0.9,1.3,1.3,0.7,0.0,0.4,1.0,3.1,8.14
133,闫鹏飞,山西,18,7.3,2.9-4.7,0.2-0.8,0.8-1.6,2.7,1.1,1.6,0.3,0.3,0.5,0.3,0.8,2.2,6.94
134,刘冠岑,山西,19,7.3,2.2-3.7,0.6-1.9,0.9-1.8,2.6,1.3,1.4,1.4,1.1,0.4,0.3,0.9,2.7,8.11
135,金鑫,天津,20,7.2,2.3-3.9,0.6-1.6,1.0-1.3,5.0,1.5,3.5,0.8,0.5,0.1,0.1,0.8,2.5,9.85
136,卢艺文,深圳,19,7.2,1.8-3.4,0.8-3.4,0.9-1.5,2.6,0.5,2.2,1.1,0.7,0.2,0.3,0.9,1.8,6.32
137,苏若禹,广厦,20,7.1,2.9-4.9,0.0-0.0,1.4-1.9,4.3,1.4,2.9,0.5,0.9,0.1,0.3,1.1,2.8,9.40
138,史仪,天津,17,7.1,1.1-2.7,1.1-3.8,1.5-1.7,1.9,0.5,1.5,3.8,1.1,0.0,0.0,2.2,2.4,7.24
139,代怀博,吉林,20,7.1,0.4-1.1,2.0-4.3,0.4-0.4,2.4,0.4,2.0,0.5,0.4,0.1,0.3,0.6,1.7,7.00
140,李根,上海,11,7.0,2.0-3.6,0.5-4.0,1.4-1.5,1.4,0.5,0.8,1.3,0.1,0.0,0.2,0.9,1.1,3.73
141,赖俊豪,浙江,13,6.9,2.0-3.0,0.4-1.0,1.8-2.2,4.4,1.9,2.5,0.8,0.7,0.7,0.8,0.5,4.5,11.00
142,刘晓宇,北京,17,6.9,2.1-4.1,0.6-1.7,0.9-1.9,2.2,0.3,1.9,2.2,0.9,0.0,0.0,1.8,2.5,6.29
143,杜润旺,广东,19,6.8,1.0-1.2,1.4-3.2,0.6-0.8,2.3,0.8,1.5,0.5,0.3,0.0,0.3,0.8,3.3,7.11
144,陈培东,山东,18,6.8,1.3-2.6,1.2-2.9,0.7-0.9,1.4,0.4,0.9,0.9,0.6,0.0,0.0,0.9,1.4,5.61
145,赵泰隆,青岛,19,6.8,0.9-2.4,1.3-4.2,0.9-1.2,1.8,0.5,1.3,0.5,0.4,0.0,0.0,0.5,2.6,4.42
146,史鸿飞,江苏,20,6.7,0.5-1.1,1.6-4.0,1.0-1.2,1.5,0.3,1.2,4.2,0.6,0.0,0.1,1.8,2.1,7.90
147,宁鸿宇,八一,18,6.6,0.9-2.1,1.1-2.2,1.6-1.8,1.7,0.7,1.0,0.3,0.4,0.1,0.3,0.7,1.6,6.06
148,蔡亮,上海,20,6.6,1.5-3.9,0.8-2.4,1.2-1.5,2.6,0.8,1.9,1.2,1.2,0.2,0.2,1.2,3.4,6.35
149,卡米然斯地克江,福建,9,6.6,1.0-2.7,1.4-3.6,0.2-0.4,2.0,0.8,1.2,1.0,0.7,0.0,0.0,2.1,1.3,4.11
150,范子铭,新疆,19,6.5,2.5-3.7,0.0-0.1,1.5-2.2,3.3,1.4,1.8,1.2,0.2,0.2,0.4,0.8,2.3,8.84
151,孙鸣阳,广州,20,6.5,1.0-3.1,1.3-2.8,0.8-1.2,4.0,1.2,2.9,1.0,0.3,0.0,0.6,1.0,3.7,7.35
152,,深圳,15,6.4,0.5-1.7,1.5-3.4,0.9-1.2,1.3,0.3,1.0,1.1,0.9,0.0,0.0,1.1,1.4,5.33
153,张庆鹏,山东,19,6.4,0.8-1.1,1.2-3.5,1.2-1.4,1.7,0.4,1.4,2.8,1.1,0.0,0.1,1.7,1.8,7.42
154,王俊杰,八一,20,6.3,2.1-4.2,0.3-1.0,1.3-2.3,2.7,0.6,2.2,1.7,1.1,0.1,0.1,0.9,1.7,7.05
155,朱俊龙,广厦,19,6.1,1.2-2.1,0.9-2.1,0.9-1.5,1.6,0.8,0.8,0.7,0.4,0.1,0.2,0.6,1.6,5.89
156,葛昭宝,山西,19,6.1,2.2-4.8,0.2-0.8,1.0-1.3,2.7,1.2,1.6,1.1,0.5,0.0,0.1,0.7,2.7,6.26
157,钟诚,吉林,20,6.1,1.5-3.3,0.9-3.2,0.5-0.7,4.9,0.9,4.1,2.3,1.9,0.1,0.7,1.1,3.9,10.40
158,丛明晨,辽宁,1,6.0,0.0-0.0,2.0-2.0,0.0-0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.00
159,何敬佳,同曦,19,5.9,2.5-4.5,0.1-0.6,0.8-1.3,2.4,1.0,1.4,1.5,0.5,0.0,0.1,0.9,2.4,6.37
160,柳伟,江苏,17,5.9,1.5-3.0,0.7-2.1,0.8-1.2,4.0,0.6,3.4,0.9,0.8,0.0,0.3,1.3,4.6,7.35
