球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
田宇恒,广州,70.63425720646002,130.81714580117062,-60.182888594710604,17.058021816839076,290,106,1,4,8,11,14,3,10,1,0,6,23,58556858004194,6,18,3,9,2,4,10
张展玮,广州,,,,,667,0,0,0,0,0,0,0,0,0,0,0,0,58556858004194,0,0,0,0,0,0,0
胡金秋,广厦,132.32048182952835,115.6020222688701,16.718459560658246,18.76354199058616,609,947,29,100,157,22,65,26,27,34,17,83,489,58556858004188,194,314,9,21,74,95,29
朱俊龙,广厦,117.49863918007404,116.05883034209984,1.4398088379741978,14.555189658522618,667,353,1,18,22,15,37,11,12,6,2,25,127,58556858004188,26,44,19,48,18,29,25
杰伦-雷诺兹,广厦,100.54190378660029,100.9354946903289,-0.39359090372860805,27.9990721460399,40,126,0,16,34,11,16,11,10,1,10,10,69,10096010000121,29,64,0,0,11,11,5
苏若禹,广厦,113.37351709165513,113.8189228860429,-0.4454057943877672,14.476736573269141,145,668,24,50,99,16,93,34,29,10,3,60,224,58556858004188,92,167,0,0,40,54,29
德兹明-威尔斯,广厦,108.41489370258186,110.50376585191971,-2.0888721493378455,33.023285757511374,440,385,10,5,72,46,28,33,38,8,8,76,311,20192020002402,94,186,19,46,66,80,10
刘铮,广厦,108.12539603479054,110.9305746225613,-2.8051785877707545,17.209806089163813,319,871,28,38,89,91,81,68,35,13,3,93,332,58556858004188,97,204,24,66,66,81,28
赵岩昊,广厦,108.80185773724233,111.7559624246555,-2.954104687413164,19.13206828365655,725,597,17,16,36,40,58,44,27,5,1,65,261,58556858004188,35,78,50,133,41,49,22
孙铭徽,广厦,102.03437556994899,110.65865581844292,-8.624280248493932,23.161808164902546,493,756,10,22,63,120,63,65,72,3,4,94,388,58556858004188,114,188,32,97,64,93,24
法里德,广厦,101.04290565925913,111.09623553040714,-10.053329871148009,29.33630796522292,33,206,2,23,47,9,23,9,14,17,9,28,121,22211222001145,46,91,5,15,14,29,7
韦伯斯特,广厦,101.54598431996804,113.20962483185889,-11.663640511890847,27.651170725740513,0,180,0,5,15,25,13,9,9,0,0,8,111,12115212001567,24,55,20,56,3,4,6
艾伦-杰克逊,广厦,100.99629108837678,115.45899721218498,-14.462706123808204,21.80114825927139,114,536,14,11,40,151,30,23,41,1,0,72,240,38364838001786,73,141,11,44,61,72,15
李金效,广厦,96.55751960965445,117.25212861281975,-20.694609003165297,13.910356140049279,377,216,0,11,29,2,64,2,12,6,0,8,59,58556858004188,23,49,1,2,10,12,24
李京龙,广厦,95.04879835164508,118.15408385081497,-23.105285499169895,15.75197997523183,261,471,7,5,39,16,40,10,16,0,0,22,148,58556858004188,13,33,38,113,8,15,22
赵嘉仁,广厦,82.98967849282819,113.95558967788831,-30.965911185060122,22.80054451467431,928,43,0,5,6,2,5,2,3,1,1,8,14,58556858004188,2,9,1,5,7,12,6
赵嘉义,广厦,79.93639274406131,114.93860897622729,-35.00221623216598,20.098864195161735,1015,43,0,3,6,2,8,2,4,0,0,4,13,58556858004188,3,5,1,8,4,6,7
赵天熠,广厦,78.02140069273645,113.9377556728057,-35.916354980069244,14.106046031879297,435,215,0,9,24,6,44,8,10,8,2,11,46,58556858004188,20,48,0,3,6,18,18
普拉姆利,广厦,85.86152076853783,124.38964736232634,-38.528126593788514,25.657935321612452,168,180,3,13,42,9,19,1,14,11,10,21,79,14134414001355,35,82,0,0,9,20,7
