,球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
1699,鲁吐布拉,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,新疆
1700,刘力鹏,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,新疆
1701,西尔扎提-赛买提,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,新疆
1702,刘羽楠,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,新疆
1703,新疆,--,--,--,30-54(56%),7-23(30%),31-38(82%),18,26,17,25,5,12,7,1,27,0/0,112,2019202000048,新疆
1704,琼斯,55,42,1,11-25(44%),1-7(14%),10-15(67%),8,4,10,5,2,3,0,0,9,0/0,35,2019202000048,吉林
1705,崔晋铭,5,37,1,2-6(33%),4-6(67%),0-1(0%),1,3,2,3,1,0,0,0,2,0/0,16,2019202000048,吉林
1706,钟诚,12,33,1,1-5(20%),3-7(43%),0-0(0%),0,4,3,6,1,0,0,0,0,0/0,11,2019202000048,吉林
1707,张彪,14,11,1,3-4(75%),0-0(0%),0-0(0%),0,0,2,2,0,0,0,0,0,0/0,6,2019202000048,吉林
1708,姜宇星,13,24,1,1-3(33%),0-1(0%),2-2(100%),0,0,1,5,3,1,0,0,3,0/0,4,2019202000048,吉林
1709,姜伟泽,11,34,0,1-3(33%),5-8(63%),1-1(100%),1,2,2,1,1,0,0,0,3,0/0,18,2019202000048,吉林
1710,霍尔曼,32,29,0,7-9(78%),0-0(0%),3-3(100%),5,5,1,4,0,2,0,1,4,0/0,17,2019202000048,吉林
1711,李安,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1712,付博文,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1713,刘天意,1,5,0,0-0(0%),0-0(0%),0-0(0%),1,0,1,0,0,0,0,0,1,0/0,0,2019202000048,吉林
1714,孔德高,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1715,郭金林,21,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1716,廉明,44,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1717,代怀博,36,21,0,0-0(0%),0-3(0%),0-0(0%),0,0,1,2,1,2,1,0,2,0/0,0,2019202000048,吉林
1718,夏钰博,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1719,柴长易,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1720,耿铭旸,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000048,吉林
1721,吉林,--,--,--,26-55(47%),13-32(41%),16-22(73%),16,18,23,28,9,8,1,1,24,0/0,107,2019202000048,吉林
1722,福特森,4,41,1,7-16(44%),1-5(20%),15-17(88%),3,2,7,5,4,7,0,0,17,0/0,32,2019202000049,四川
1723,李原宇,15,32,1,4-9(44%),0-3(0%),0-0(0%),1,5,1,2,2,0,0,0,1,0/0,8,2019202000049,四川
1724,左朕年,13,24,1,1-3(33%),0-3(0%),1-2(50%),0,4,0,2,0,0,0,0,3,0/0,3,2019202000049,四川
1725,胡林森,8,17,1,0-0(0%),1-3(33%),0-0(0%),0,1,1,1,0,0,0,0,0,0/0,3,2019202000049,四川
1726,于刚,77,19,1,0-2(0%),0-0(0%),0-0(0%),2,0,1,2,0,0,0,0,0,0/0,0,2019202000049,四川
1727,袁振梁,25,25,0,7-10(70%),0-0(0%),6-6(100%),3,2,1,3,1,0,1,0,5,0/0,20,2019202000049,四川
1728,陈辰,32,18,0,2-3(67%),3-4(75%),1-1(100%),0,2,2,4,1,0,0,0,1,0/0,14,2019202000049,四川
1729,侯天一,14,18,0,3-4(75%),1-2(50%),0-0(0%),0,2,1,1,0,1,0,0,0,0/0,9,2019202000049,四川
1730,李柯七,17,24,0,0-2(0%),2-2(100%),0-0(0%),0,2,3,2,1,3,0,0,1,0/0,6,2019202000049,四川
1731,孟达,12,16,0,1-3(33%),1-2(50%),0-0(0%),0,0,0,3,1,1,0,0,0,0/0,5,2019202000049,四川
1732,胡钧淋,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1733,王政博,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1734,托马斯-罗宾逊,41,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1735,景菡一,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1736,莫蒙尘,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1737,郭治瀚,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1738,张松涛,39,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1739,闵庆飞,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1740,袁堂文,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,四川
1741,四川,--,--,--,25-52(48%),9-24(38%),23-26(88%),9,20,17,25,10,12,1,0,28,0/0,100,2019202000049,四川
1742,易建联,9,29,1,11-13(85%),1-3(33%),6-9(67%),5,5,0,1,2,1,0,5,5,0/0,31,2019202000049,广东
1743,布鲁克斯,6,33,1,4-6(67%),2-6(33%),5-6(83%),2,6,8,2,1,2,0,1,4,0/0,19,2019202000049,广东
1744,任骏飞,20,29,1,3-7(43%),2-4(50%),6-6(100%),3,5,3,4,1,5,1,0,4,0/0,18,2019202000049,广东
1745,胡明轩,3,10,1,1-2(50%),1-2(50%),2-2(100%),1,0,0,3,0,1,0,0,2,0/0,7,2019202000049,广东
1746,赵睿,10,26,1,1-6(17%),0-2(0%),0-0(0%),1,2,5,3,0,1,1,0,1,0/0,2,2019202000049,广东
1747,威姆斯,13,35,0,6-14(43%),0-0(0%),3-4(75%),2,5,9,1,0,2,0,0,5,0/0,15,2019202000049,广东
1748,苏伟,12,13,0,6-6(100%),0-0(0%),1-1(100%),1,4,0,3,0,1,0,0,1,0/0,13,2019202000049,广东
1749,王薪凯,5,18,0,0-1(0%),3-5(60%),2-2(100%),1,2,3,3,1,1,0,0,1,0/0,11,2019202000049,广东
1750,曾繁日,22,8,0,2-2(100%),0-0(0%),0-0(0%),2,2,1,0,0,0,0,0,0,0/0,4,2019202000049,广东
1751,徐杰,2,21,0,0-0(0%),1-2(50%),0-0(0%),1,0,1,3,1,0,0,0,1,0/0,3,2019202000049,广东
1752,周鹏,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1753,万圣伟,51,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1754,李英博,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1755,刘旭乘,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1756,杜润旺,18,15,0,0-0(0%),0-1(0%),0-0(0%),0,0,0,6,0,1,0,0,0,0/0,0,2019202000049,广东
1757,张皓嘉,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1758,方渭博,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1759,刘权标,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000049,广东
1760,广东,--,--,--,34-57(60%),10-25(40%),25-30(83%),19,31,30,29,6,15,2,6,24,0/0,123,2019202000049,广东
1761,弗格,18,37,1,7-8(88%),3-6(50%),15-16(94%),0,5,4,4,2,5,0,0,10,0/0,38,2019202000050,北控
1762,桑尼,7,33,1,7-14(50%),0-1(0%),6-8(75%),4,7,5,2,3,2,0,0,7,0/0,20,2019202000050,北控
1763,孙悦,9,33,1,0-3(0%),3-8(38%),3-3(100%),0,3,4,5,4,3,1,0,2,0/0,12,2019202000050,北控
1764,王子瑞,1,32,1,4-6(67%),0-4(0%),2-2(100%),1,3,4,2,0,2,0,0,1,0/0,10,2019202000050,北控
1765,王少杰,14,19,1,3-6(50%),0-0(0%),2-3(67%),1,2,0,4,0,1,0,2,2,0/0,8,2019202000050,北控
1766,贾森-汤普森,6,27,0,3-6(50%),0-0(0%),0-0(0%),1,5,2,5,0,1,2,2,3,0/0,6,2019202000050,北控
1767,孙桐林,55,18,0,2-4(50%),0-0(0%),0-0(0%),0,1,1,2,2,1,0,0,1,0/0,4,2019202000050,北控
1768,高尚,27,9,0,0-1(0%),1-2(50%),1-2(50%),0,0,0,0,0,0,0,0,1,0/0,4,2019202000050,北控
1769,张帆,3,21,0,0-1(0%),1-3(33%),0-0(0%),0,2,2,3,1,0,0,0,0,0/0,3,2019202000050,北控
1770,许梦君,19,5,0,1-1(100%),0-0(0%),0-0(0%),0,0,0,2,0,0,0,0,0,0/0,2,2019202000050,北控
1771,王向彬,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1772,常亚松,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1773,班铎,29,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1774,陈子安,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1775,陈金龙,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1776,景浩扬,12,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1777,于梁,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1778,宗赞,13,2,0,0-1(0%),0-0(0%),0-0(0%),0,1,0,1,0,0,0,0,0,0/0,0,2019202000050,北控
1779,王征,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1780,孟博龙,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,北控
1781,北控,--,--,--,27-51(53%),8-24(33%),29-34(85%),7,29,22,30,12,15,3,4,27,0/0,107,2019202000050,北控
1782,邓蒙,12,36,1,1-7(14%),4-10(40%),8-10(80%),1,4,12,3,1,5,0,0,7,0/0,22,2019202000050,浙江
1783,吴前,33,32,1,2-3(67%),4-4(100%),3-3(100%),0,5,3,3,6,3,0,0,5,0/0,19,2019202000050,浙江
1784,朱旭航,21,35,1,0-4(0%),3-9(33%),7-8(88%),1,4,0,6,1,2,0,0,7,0/0,16,2019202000050,浙江
1785,张大宇,24,35,1,5-7(71%),0-1(0%),2-2(100%),5,3,2,5,1,2,2,1,3,0/0,12,2019202000050,浙江
1786,程帅澎,6,17,1,0-1(0%),2-3(67%),0-0(0%),0,0,0,4,1,0,0,0,3,0/0,6,2019202000050,浙江
1787,兰兹博格,1,35,0,7-12(58%),2-8(25%),5-6(83%),2,7,0,2,1,2,0,0,4,0/0,25,2019202000050,浙江
1788,王奕博,15,21,0,1-3(33%),0-2(0%),0-0(0%),0,1,1,1,0,2,0,0,0,0/0,2,2019202000050,浙江
1789,张正昕,28,9,0,1-1(100%),0-0(0%),0-0(0%),1,0,0,1,0,0,0,0,0,0/0,2,2019202000050,浙江
1790,林孝天,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1791,陆文博,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1792,白杰,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1793,李耀强,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1794,付磊,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1795,刘泽一,10,10,0,0-1(0%),0-0(0%),0-0(0%),1,1,0,1,0,1,0,0,1,0/0,0,2019202000050,浙江
1796,孙岩松,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1797,王仔路,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1798,鞠鹏,7,4,0,0-0(0%),0-0(0%),0-0(0%),0,1,0,1,1,1,0,0,0,0/0,0,2019202000050,浙江
1799,刘育辰,30,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000050,浙江
1800,浙江,--,--,--,17-39(44%),15-37(41%),25-29(86%),11,26,18,27,12,18,2,1,30,0/0,104,2019202000050,浙江
1801,拉杜利察,13,42,1,9-16(56%),2-4(50%),7-7(100%),4,7,3,4,2,7,1,0,10,0/0,31,2019202000051,江苏
1802,易立,8,40,1,5-6(83%),1-2(50%),5-8(63%),0,2,5,2,2,1,1,0,6,0/0,18,2019202000051,江苏
1803,史鸿飞,4,41,1,1-2(50%),4-6(67%),4-4(100%),0,1,5,3,1,4,1,0,3,0/0,18,2019202000051,江苏
1804,赵率舟,24,17,1,0-2(0%),1-5(20%),1-1(100%),0,1,0,2,0,0,0,0,1,0/0,4,2019202000051,江苏
1805,黄荣奇,1,12,1,0-1(0%),0-1(0%),0-0(0%),0,1,0,5,2,1,0,0,0,0/0,0,2019202000051,江苏
1806,吴冠希,11,31,0,6-9(67%),0-0(0%),0-0(0%),2,7,2,3,1,1,1,2,0,0/0,12,2019202000051,江苏
1807,王洪,9,21,0,1-2(50%),0-1(0%),4-4(100%),0,1,0,1,4,0,0,0,4,0/0,6,2019202000051,江苏
1808,侯逸凡,31,21,0,0-3(0%),0-6(0%),2-2(100%),1,3,0,5,3,0,0,0,3,0/0,2,2019202000051,江苏
1809,孙鑫,10,5,0,0-2(0%),0-0(0%),0-0(0%),0,0,0,3,0,0,0,0,0,0/0,0,2019202000051,江苏
1810,刘剑阁,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1811,布莱克尼,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1812,刘宇轩,21,2,0,0-0(0%),0-1(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1813,吴俣成,27,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1814,赵旭昕,77,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1815,蒋浩然,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1816,柳伟,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1817,张稀然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,江苏
1818,江苏,--,--,--,22-43(51%),8-26(31%),23-26(88%),7,23,15,28,15,14,4,2,27,0/0,91,2019202000051,江苏
1819,翟晓川,20,39,1,5-6(83%),5-7(71%),2-2(100%),0,6,5,2,3,2,0,0,5,0/0,27,2019202000051,北京
1820,林书豪,7,32,1,5-12(42%),1-2(50%),13-17(76%),1,2,4,5,0,6,0,0,15,0/0,26,2019202000051,北京
1821,王骁辉,77,34,1,2-2(100%),2-5(40%),2-2(100%),2,2,1,3,2,2,0,0,2,0/0,12,2019202000051,北京
1822,张卓,22,14,1,1-2(50%),0-0(0%),0-0(0%),1,2,2,1,1,0,0,0,0,0/0,2,2019202000051,北京
1823,丘天,19,4,1,0-0(0%),0-0(0%),0-0(0%),0,1,0,3,0,1,0,0,0,0/0,0,2019202000051,北京
1824,汉密尔顿,41,38,0,10-18(56%),0-2(0%),5-6(83%),3,13,6,2,0,3,1,1,3,0/0,25,2019202000051,北京
1825,段江鹏,11,18,0,0-1(0%),2-3(67%),2-2(100%),1,1,0,3,0,2,0,0,1,0/0,8,2019202000051,北京
1826,朱彦西,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1827,周仪翔,27,19,0,0-1(0%),0-1(0%),0-0(0%),1,1,2,1,1,0,0,0,1,0/0,0,2019202000051,北京
1828,刘晓宇,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1829,王旭,4,17,0,0-2(0%),0-1(0%),0-0(0%),0,0,3,4,1,2,0,0,1,0/0,0,2019202000051,北京
1830,方硕,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1831,赵晏满,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1832,孙昊锋,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1833,张才仁,16,7,0,0-1(0%),0-0(0%),0-0(0%),0,1,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1834,常林,21,8,0,0-1(0%),0-0(0%),0-0(0%),0,1,0,3,0,1,0,0,0,0/0,0,2019202000051,北京
1835,孙晨然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000051,北京
1836,北京,--,--,--,23-46(50%),10-21(48%),24-29(83%),9,30,23,27,8,19,1,1,28,0/0,100,2019202000051,北京
1837,凯-费尔德,1,34,1,6-10(60%),4-9(44%),1-1(100%),2,3,7,2,2,7,0,0,3,0/0,25,2019202000052,新疆
1838,周琦,9,35,1,5-8(63%),0-2(0%),6-8(75%),4,9,5,4,4,1,0,0,6,0/0,16,2019202000052,新疆
1839,阿不都沙拉木,23,32,1,3-5(60%),2-5(40%),4-4(100%),2,1,0,4,1,1,0,0,2,0/0,16,2019202000052,新疆
1840,可兰白克,13,18,1,1-2(50%),2-4(50%),0-0(0%),0,3,0,2,0,1,0,0,1,0/0,8,2019202000052,新疆
1841,俞长栋,7,21,1,0-1(0%),1-2(50%),1-2(50%),1,3,2,6,1,1,1,0,3,0/0,4,2019202000052,新疆
1842,范子铭,17,33,0,10-12(83%),0-0(0%),5-7(71%),3,4,5,4,2,0,0,1,5,0/0,25,2019202000052,新疆
1843,唐才育,8,18,0,2-3(67%),4-5(80%),1-2(50%),2,1,2,0,1,0,0,0,2,0/0,17,2019202000052,新疆
1844,西热力江,20,29,0,0-0(0%),3-11(27%),2-2(100%),0,1,2,3,4,2,0,0,2,0/0,11,2019202000052,新疆
1845,曾令旭,6,11,0,1-2(50%),1-3(33%),0-0(0%),2,1,3,1,0,0,0,0,0,0/0,5,2019202000052,新疆
1846,刘力鹏,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,新疆
1847,鲁吐布拉,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,新疆
1848,刘羽楠,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,新疆
1849,热甫卡提江-吐送江,31,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,新疆
1850,齐麟,11,2,0,0-1(0%),0-0(0%),0-0(0%),0,0,0,1,0,0,0,0,0,0/0,0,2019202000052,新疆
1851,斯托克斯,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,新疆
1852,西尔扎提-赛买提,0,2,0,0-1(0%),0-1(0%),0-0(0%),0,0,0,0,1,0,0,0,0,0/0,0,2019202000052,新疆
1853,新疆,--,--,--,28-45(62%),17-42(40%),20-26(77%),16,26,26,27,16,13,1,1,24,0/0,127,2019202000052,新疆
1854,郭艾伦,13,35,1,6-6(100%),2-5(40%),8-13(62%),0,3,7,3,1,4,0,0,8,0/0,26,2019202000052,辽宁
1855,史蒂芬森,1,33,1,7-12(58%),2-3(67%),5-7(71%),0,2,1,3,3,3,0,0,5,0/0,25,2019202000052,辽宁
1856,韩德君,55,35,1,5-14(36%),0-0(0%),4-5(80%),5,9,3,1,1,1,1,1,4,0/0,14,2019202000052,辽宁
1857,李晓旭,22,10,1,0-2(0%),0-1(0%),0-0(0%),2,2,0,1,0,1,0,0,1,0/0,0,2019202000052,辽宁
1858,高诗岩,0,28,1,0-1(0%),0-2(0%),0-0(0%),2,0,1,5,2,2,0,0,0,0/0,0,2019202000052,辽宁
1859,巴斯,30,28,0,4-5(80%),0-0(0%),7-10(70%),1,3,1,4,2,4,0,1,7,0/0,15,2019202000052,辽宁
1860,赵继伟,3,32,0,2-6(33%),2-4(50%),2-2(100%),1,2,3,3,0,2,0,0,1,0/0,12,2019202000052,辽宁
1861,贺天举,6,21,0,1-3(33%),2-3(67%),2-2(100%),0,2,0,3,0,1,0,0,1,0/0,10,2019202000052,辽宁
1862,刘志轩,11,13,0,0-0(0%),1-1(100%),0-0(0%),0,1,0,1,0,1,0,0,0,0/0,3,2019202000052,辽宁
1863,丛明晨,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1864,郭旭,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1865,刘雁宇,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1866,孙锴祺,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1867,王化东,32,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1868,卢梓杰,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1869,马壮,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1870,鄢手骐,36,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000052,辽宁
1871,辽宁,--,--,--,25-49(51%),9-19(47%),28-39(72%),11,24,16,24,9,19,1,2,27,0/0,105,2019202000052,辽宁
1872,富兰克林,11,38,1,9-17(53%),2-8(25%),6-6(100%),0,12,15,2,4,3,0,2,11,0/0,30,2019202000053,山西
1873,任骏威,10,44,1,7-11(64%),1-3(33%),2-2(100%),2,3,3,2,3,2,2,1,5,0/0,19,2019202000053,山西
1874,葛昭宝,35,27,1,4-9(44%),1-2(50%),5-6(83%),3,2,2,2,2,0,0,0,3,0/0,16,2019202000053,山西
1875,原帅,7,41,1,2-4(50%),3-8(38%),0-0(0%),0,0,1,1,1,1,0,0,0,0/0,13,2019202000053,山西
1876,刘冠岑,17,37,1,2-2(100%),0-0(0%),0-0(0%),0,3,3,3,2,0,0,1,1,0/0,4,2019202000053,山西
1877,田桂森,0,15,0,2-4(50%),1-1(100%),0-0(0%),0,2,0,0,0,2,1,0,0,0/0,7,2019202000053,山西
1878,埃里克-莫兰德,3,17,0,3-5(60%),0-0(0%),0-0(0%),2,9,0,5,2,5,3,0,2,0/0,6,2019202000053,山西
1879,郭晓鹏,1,11,0,0-1(0%),0-1(0%),0-0(0%),0,0,0,2,0,1,0,0,0,0/0,0,2019202000053,山西
1880,刘春庆,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1881,张泽龙,24,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1882,邢志强,12,3,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,1,0,1,0,0,0,0/0,0,2019202000053,山西
1883,闫鹏飞,9,2,0,0-0(0%),0-0(0%),0-0(0%),1,1,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1884,滕贺麒,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1885,卫猛,19,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1886,张涵钧,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,山西
1887,山西,--,--,--,29-53(55%),8-23(35%),13-14(93%),8,32,24,18,14,15,6,4,22,0/0,95,2019202000053,山西
1888,雅克查理,88,29,1,2-2(100%),4-6(67%),2-3(67%),2,3,5,4,2,2,0,0,3,0/0,18,2019202000053,同曦
1889,约瑟夫-杨,3,37,1,6-12(50%),1-6(17%),3-4(75%),0,3,7,1,0,4,0,2,3,0/0,18,2019202000053,同曦
1890,郭一飞,10,24,1,0-1(0%),2-3(67%),0-0(0%),0,1,0,4,1,1,0,0,1,0/0,6,2019202000053,同曦
1891,买尔丹,33,7,1,0-0(0%),0-0(0%),0-0(0%),2,2,0,3,1,1,0,0,0,0/0,0,2019202000053,同曦
1892,于长春,6,6,1,0-0(0%),0-1(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,同曦
1893,哈达迪,15,33,0,3-10(30%),1-3(33%),6-8(75%),4,13,5,5,0,6,3,2,6,0/0,15,2019202000053,同曦
1894,宋建骅,8,32,0,2-6(33%),2-6(33%),0-0(0%),0,1,2,1,1,0,2,0,1,0/0,10,2019202000053,同曦
1895,王睿,21,26,0,1-3(33%),2-3(67%),1-2(50%),2,1,0,2,3,0,0,0,2,0/0,9,2019202000053,同曦
1896,何敬佳,20,30,0,4-8(50%),0-2(0%),1-2(50%),1,3,1,2,2,0,1,0,1,0/0,9,2019202000053,同曦
1897,冯欣,11,3,0,0-0(0%),0-0(0%),0-0(0%),0,1,0,0,1,2,0,0,1,0/0,0,2019202000053,同曦
1898,乔文瀚,9,4,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000053,同曦
