球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
刘泽一,10,28,0,4-9(44%),0-0(0%),0-1(0%),2,3,0,4,2,2,0,0,1,0/0,8,2.0192E+12,浙江
王仔路,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
林孝天,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
王奕博,15,24,0,0-0(0%),0-1(0%),0-0(0%),1,0,2,1,1,1,0,0,1,0/0,0,2.0192E+12,浙江
陆文博,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
张正昕,28,3,0,0-1(0%),0-0(0%),0-0(0%),0,0,0,1,0,1,0,0,0,0/0,0,2.0192E+12,浙江
白杰,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
李耀强,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
付磊,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
鞠鹏,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
孙岩松,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
刘育辰,30,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,浙江
浙江,--,--,--,19-44(43%),12-30(40%),23-29(79%),13,26,19,29,9,15,0,2,32,0/0,97,2.0192E+12,浙江
托马斯-罗宾逊,41,35,1,8-16(50%),0-2(0%),6-6(100%),6,9,4,5,0,3,2,2,10,0/0,22,2.0192E+12,四川
李原宇,15,33,1,5-16(31%),0-4(0%),3-4(75%),3,5,0,6,2,2,0,0,3,0/0,13,2.0192E+12,四川
左朕年,13,29,1,2-5(40%),1-3(33%),3-3(100%),2,3,3,2,1,1,0,0,2,0/0,10,2.0192E+12,四川
孟达,12,27,1,2-7(29%),2-6(33%),0-0(0%),0,3,4,1,1,2,0,0,0,0/0,10,2.0192E+12,四川
王政博,6,16,1,0-0(0%),1-4(25%),2-2(100%),0,0,1,5,2,0,0,0,1,0/0,5,2.0192E+12,四川
福特森,4,27,0,2-7(29%),1-3(33%),7-7(100%),0,2,3,3,1,2,0,0,5,0/0,14,2.0192E+12,四川
陈辰,32,27,0,1-5(20%),2-3(67%),1-1(100%),2,5,0,4,1,2,0,0,1,0/0,9,2.0192E+12,四川
闵庆飞,7,10,0,2-4(50%),0-2(0%),0-0(0%),1,1,0,4,0,0,0,0,0,0/0,4,2.0192E+12,四川
袁振梁,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
胡林森,8,15,0,0-0(0%),0-1(0%),0-0(0%),0,0,0,1,0,1,0,0,0,0/0,0,2.0192E+12,四川
胡钧淋,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
张松涛,39,4,0,0-0(0%),0-0(0%),0-0(0%),0,0,1,0,0,0,0,0,1,0/0,0,2.0192E+12,四川
景菡一,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
莫蒙尘,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
郭治瀚,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
于刚,77,3,0,0-2(0%),0-0(0%),0-0(0%),0,0,2,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
侯天一,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,四川
袁堂文,3,8,0,0-1(0%),0-2(0%),0-2(0%),0,0,1,1,0,2,0,0,3,0/0,0,2.0192E+12,四川
四川,--,--,--,22-63(35%),7-30(23%),22-25(88%),14,28,19,32,8,15,2,2,26,0/0,87,2.0192E+12,四川
周琦,9,27,1,5-7(71%),3-7(43%),8-11(73%),2,10,2,4,1,2,5,3,6,0/0,27,2.0192E+12,新疆
凯-费尔德,1,24,1,4-9(44%),2-4(50%),5-5(100%),0,6,8,1,1,5,1,0,7,0/0,19,2.0192E+12,新疆
西热力江,20,26,1,1-1(100%),5-8(63%),0-0(0%),1,3,2,2,0,1,0,0,1,0/0,17,2.0192E+12,新疆
范子铭,17,15,1,3-3(100%),0-0(0%),5-6(83%),5,3,3,2,0,0,0,0,3,0/0,11,2.0192E+12,新疆
阿不都沙拉木,23,27,1,4-6(67%),0-2(0%),2-2(100%),0,4,3,0,1,0,0,0,1,0/0,10,2.0192E+12,新疆
斯托克斯,2,31,0,6-12(50%),1-2(50%),2-5(40%),2,7,3,5,1,2,1,1,5,0/0,17,2.0192E+12,新疆
俞长栋,7,23,0,1-3(33%),2-2(100%),2-6(33%),2,2,0,4,1,0,0,0,3,0/0,10,2.0192E+12,新疆
曾令旭,6,13,0,2-3(67%),0-1(0%),2-2(100%),1,2,2,0,2,0,0,0,2,0/0,6,2.0192E+12,新疆
可兰白克,13,5,0,0-0(0%),2-3(67%),0-0(0%),0,2,0,2,0,0,1,0,2,0/0,6,2.0192E+12,新疆
唐才育,8,25,0,1-2(50%),0-4(0%),3-4(75%),1,1,1,2,0,0,0,0,2,0/0,5,2.0192E+12,新疆
西尔扎提-赛买提,0,9,0,2-3(67%),0-0(0%),0-0(0%),0,3,1,4,0,1,0,0,0,0/0,4,2.0192E+12,新疆
齐麟,11,9,0,1-2(50%),0-0(0%),0-0(0%),1,0,1,0,0,0,0,0,0,0/0,2,2.0192E+12,新疆
刘羽楠,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
刘力鹏,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
新疆,--,--,--,30-51(59%),15-33(45%),29-41(71%),15,43,26,26,7,11,8,4,32,0/0,134,2.0192E+12,新疆
詹姆斯-梅斯,40,17,1,7-12(58%),2-2(100%),3-7(43%),1,8,1,3,2,1,2,0,7,0/0,23,2.0192E+12,山东
陶汉林,20,27,1,4-7(57%),0-0(0%),4-8(50%),1,6,0,6,0,0,3,3,4,0/0,12,2.0192E+12,山东
张庆鹏,9,36,1,1-2(50%),2-5(40%),1-2(50%),0,3,9,5,3,4,0,0,2,0/0,9,2.0192E+12,山东
陈培东,44,18,1,1-3(33%),1-2(50%),0-0(0%),0,0,1,0,1,2,0,0,1,0/0,5,2.0192E+12,山东
李敬宇,8,26,1,1-2(50%),0-1(0%),0-2(0%),0,3,2,3,0,0,0,0,1,0/0,2,2.0192E+12,山东
哈德森,0,30,0,3-4(75%),7-14(50%),4-4(100%),1,11,8,3,4,1,0,0,6,0/0,31,2.0192E+12,山东
贾诚,23,29,0,7-8(88%),0-1(0%),1-1(100%),4,5,1,4,0,3,1,2,1,0/0,15,2.0192E+12,山东
朱荣振,35,16,0,5-9(56%),0-0(0%),1-3(33%),1,2,0,3,0,3,2,2,3,0/0,11,2.0192E+12,山东
张辉,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
侯沛佐,10,22,0,0-2(0%),0-0(0%),0-0(0%),0,3,2,0,0,1,0,0,0,0/0,0,2.0192E+12,山东
王冠翔,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
田嘉夫,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
孙贺男,31,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
李泓翰,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
刘大鹏,1,14,0,0-0(0%),0-2(0%),0-0(0%),0,0,2,1,1,1,0,0,0,0/0,0,2.0192E+12,山东
吴轲,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
马光翰,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山东
山东,--,--,--,29-49(59%),12-27(44%),14-27(52%),8,41,26,28,11,16,8,7,25,0/0,108,2.0192E+12,山东
刘航初,9,26,1,5-7(71%),3-8(38%),0-0(0%),0,3,1,5,0,4,0,0,1,0/0,19,2.0192E+12,八一
王俊杰,3,32,1,3-6(50%),0-1(0%),4-4(100%),0,1,4,1,3,0,0,0,6,0/0,10,2.0192E+12,八一
雷蒙,11,31,1,2-9(22%),1-3(33%),2-2(100%),3,7,2,2,3,2,0,0,3,0/0,9,2.0192E+12,八一
田宇翔,7,27,1,1-4(25%),0-1(0%),7-8(88%),0,1,1,1,2,1,1,0,5,0/0,9,2.0192E+12,八一
许钟豪,27,31,1,2-7(29%),0-1(0%),0-1(0%),2,6,1,3,0,0,1,0,1,0/0,4,2.0192E+12,八一
阿尔斯兰,5,20,0,2-4(50%),2-4(50%),4-4(100%),0,1,2,2,1,1,0,0,2,0/0,14,2.0192E+12,八一
郭昊文,6,16,0,4-8(50%),0-1(0%),5-8(63%),0,2,1,4,0,0,0,0,5,0/0,13,2.0192E+12,八一
付豪,1,20,0,3-8(38%),0-1(0%),4-6(67%),3,0,1,2,0,1,0,0,3,0/0,10,2.0192E+12,八一
宁鸿宇,16,1,0,1-1(100%),0-1(0%),1-2(50%),1,0,0,0,0,0,0,0,1,0/0,3,2.0192E+12,八一
余晨,15,16,0,1-2(50%),0-1(0%),0-0(0%),0,4,1,5,0,1,0,0,0,0/0,2,2.0192E+12,八一
罗凯文,17,15,0,1-2(50%),0-1(0%),0-0(0%),1,2,0,1,0,1,1,0,1,0/0,2,2.0192E+12,八一
韩硕,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
张旭,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
马泳,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
张祖铭,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
石颜博,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
邹雨宸,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
缪光旸,21,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
八一,--,--,--,25-58(43%),6-23(26%),27-35(77%),10,27,14,26,9,11,3,0,28,0/0,95,2.0192E+12,八一
弗格,18,38,1,5-12(42%),4-9(44%),13-15(87%),0,9,10,5,1,3,0,0,12,0/0,35,2.0192E+12,北控
桑尼,7,30,1,5-11(45%),0-1(0%),8-8(100%),3,9,1,1,0,1,0,0,4,0/0,18,2.0192E+12,北控
孙悦,9,31,1,2-4(50%),3-9(33%),0-0(0%),1,4,4,4,2,0,1,1,2,0/0,13,2.0192E+12,北控
王少杰,14,24,1,6-8(75%),0-0(0%),0-0(0%),2,1,0,0,2,0,1,1,0,0/0,12,2.0192E+12,北控
许梦君,19,5,1,0-0(0%),0-1(0%),0-0(0%),0,0,0,2,0,0,0,0,0,0/0,0,2.0192E+12,北控
贾森-汤普森,6,29,0,3-9(33%),0-0(0%),5-6(83%),0,7,0,3,0,1,2,0,7,0/0,11,2.0192E+12,北控
王子瑞,1,30,0,2-4(50%),2-4(50%),0-0(0%),0,3,0,5,1,2,0,0,0,0/0,10,2.0192E+12,北控
张帆,3,23,0,3-4(75%),1-2(50%),0-0(0%),0,1,2,2,0,2,0,0,0,0/0,9,2.0192E+12,北控
孟博龙,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
班铎,29,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
常亚松,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
王向彬,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
陈子安,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
陈金龙,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
于梁,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
高尚,27,10,0,0-1(0%),0-1(0%),0-0(0%),1,1,1,2,1,0,0,0,0,0/0,0,2.0192E+12,北控
宗赞,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
王征,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
孙桐林,55,13,0,0-1(0%),0-0(0%),0-0(0%),0,3,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
景浩扬,12,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北控
北控,--,--,--,26-54(48%),10-27(37%),26-29(90%),7,38,18,24,7,9,4,2,25,0/0,108,2.0192E+12,北控
皮埃尔-杰克逊,55,38,1,1-6(17%),7-13(54%),7-8(88%),1,3,9,3,2,5,0,0,7,0/0,30,2.0192E+12,深圳
顾全,12,35,1,1-3(33%),2-6(33%),3-4(75%),0,3,1,2,1,1,0,0,2,0/0,11,2.0192E+12,深圳
李慕豪,9,25,1,4-7(57%),0-0(0%),0-0(0%),1,5,0,4,0,0,3,2,1,0/0,8,2.0192E+12,深圳
卢艺文,23,28,1,1-2(50%),1-8(13%),0-0(0%),0,5,2,2,0,1,0,0,0,0/0,5,2.0192E+12,深圳
贺希宁,0,22,1,1-1(100%),0-1(0%),0-0(0%),1,3,1,3,0,1,0,0,1,0/0,2,2.0192E+12,深圳
穆罕默德,15,33,0,8-14(57%),1-5(20%),8-10(80%),2,7,1,3,0,5,1,0,7,0/0,27,2.0192E+12,深圳
沈梓捷,11,29,0,5-7(71%),0-0(0%),3-6(50%),3,5,1,5,1,2,2,3,4,0/0,13,2.0192E+12,深圳
容子峰,25,10,0,2-3(67%),0-0(0%),0-0(0%),0,2,2,2,2,0,0,0,2,0/0,4,2.0192E+12,深圳
杨林祎,6,4,0,0-0(0%),1-1(100%),0-0(0%),0,2,0,0,0,0,0,0,0,0/0,3,2.0192E+12,深圳
何忠勉,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
白昊天,10,7,0,0-2(0%),0-0(0%),0-0(0%),0,1,1,1,0,0,0,0,0,0/0,0,2.0192E+12,深圳
于德豪,19,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
卢鹏羽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
赵义明,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
陈柏石,34,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
李想,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
孟铎,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
韩驭丰,14,3,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
深圳,--,--,--,23-45(51%),12-34(35%),21-28(75%),8,36,18,25,6,15,6,5,24,0/0,103,2.0192E+12,深圳
约翰逊,41,38,1,9-12(75%),0-0(0%),5-10(50%),7,12,4,4,1,1,3,1,11,0/0,23,2.0192E+12,青岛
翟逸,33,31,1,5-7(71%),0-0(0%),4-4(100%),1,1,2,5,3,3,0,1,5,0/0,14,2.0192E+12,青岛
林韦翰,16,27,1,2-3(67%),2-3(67%),0-0(0%),0,3,3,2,1,2,0,0,1,0/0,10,2.0192E+12,青岛
赵泰隆,8,18,1,3-7(43%),0-3(0%),0-0(0%),0,0,0,3,0,1,0,0,0,0/0,6,2.0192E+12,青岛
王庆明,32,31,1,0-4(0%),1-3(33%),0-0(0%),0,6,3,1,1,0,0,0,1,0/0,3,2.0192E+12,青岛
张骋宇,6,25,0,6-7(86%),2-3(67%),2-2(100%),0,0,0,1,1,0,0,0,1,0/0,20,2.0192E+12,青岛
亚当斯,4,30,0,5-10(50%),1-13(8%),4-5(80%),2,12,5,2,3,4,0,0,2,0/0,17,2.0192E+12,青岛
焦海龙,17,17,0,3-4(75%),0-1(0%),0-0(0%),0,0,0,1,1,1,1,0,0,0/0,6,2.0192E+12,青岛
刘传兴,21,7,0,2-4(50%),0-0(0%),0-0(0%),2,2,0,1,0,0,0,0,0,0/0,4,2.0192E+12,青岛
赵大鹏,30,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
许家晗,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
周湛东,24,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
杨金蒙,7,11,0,0-2(0%),0-2(0%),0-0(0%),0,0,0,4,0,0,0,0,1,0/0,0,2.0192E+12,青岛
史文龙,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
王睿泽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
杨凯,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
赵戌宏,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
丁皓然,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
